,,Page 123,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6519 US-2017-116652,9/15/2017,9/19/2017,Standard Class,RD-19480
6520 US-2017-116652,9/15/2017,9/19/2017,Standard Class,RD-19480
6521 CA-2017-138289,1/16/2017,1/18/2017,Second Class,AR-10540
6522 CA-2017-138289,1/16/2017,1/18/2017,Second Class,AR-10540
6523 CA-2017-138289,1/16/2017,1/18/2017,Second Class,AR-10540
6524 CA-2016-129308,07-07-2016,7/13/2016,Standard Class,CC-12100
6525 CA-2016-129308,07-07-2016,7/13/2016,Standard Class,CC-12100
6526 CA-2016-129308,07-07-2016,7/13/2016,Standard Class,CC-12100
6527 CA-2016-129308,07-07-2016,7/13/2016,Standard Class,CC-12100
6528 CA-2016-157791,12/23/2016,12/28/2016,Second Class,CA-11965
6529 CA-2014-146864,12/22/2014,12/26/2014,Standard Class,BT-11530
6530 CA-2014-103744,2/23/2014,2/27/2014,Standard Class,MG-17875
6531 CA-2014-103744,2/23/2014,2/27/2014,Standard Class,MG-17875
6532 US-2017-107384,12-04-2017,12-08-2017,Standard Class,TP-21130
6533 US-2017-107384,12-04-2017,12-08-2017,Standard Class,TP-21130
6534 US-2017-107384,12-04-2017,12-08-2017,Standard Class,TP-21130
6535 CA-2014-128209,11/17/2014,11/22/2014,Standard Class,GT-14710
6536 CA-2014-128209,11/17/2014,11/22/2014,Standard Class,GT-14710
6537 CA-2014-169684,10/20/2014,10/23/2014,First Class,FH-14365
6538 CA-2014-169684,10/20/2014,10/23/2014,First Class,FH-14365
6539 CA-2015-109862,10/25/2015,10/30/2015,Standard Class,HK-14890
6540 CA-2015-109862,10/25/2015,10/30/2015,Standard Class,HK-14890
6541 US-2017-107888,11/16/2017,11/19/2017,First Class,CC-12220
6542 US-2017-107888,11/16/2017,11/19/2017,First Class,CC-12220
6543 US-2017-107888,11/16/2017,11/19/2017,First Class,CC-12220
6544 US-2017-107888,11/16/2017,11/19/2017,First Class,CC-12220
6545 US-2017-154872,5/14/2017,5/18/2017,Standard Class,DP-13000
6546 US-2017-154872,5/14/2017,5/18/2017,Standard Class,DP-13000
6547 US-2017-154872,5/14/2017,5/18/2017,Standard Class,DP-13000
6548 CA-2014-113880,03-01-2014,03-05-2014,Standard Class,VF-21715
6549 CA-2014-113880,03-01-2014,03-05-2014,Standard Class,VF-21715
6550 US-2015-164966,7/30/2015,08-01-2015,First Class,GH-14410
6551 CA-2015-126739,11-01-2015,11-03-2015,Second Class,JH-16180
6552 CA-2017-161578,12/16/2017,12/21/2017,Second Class,RB-19465
6553 CA-2017-161578,12/16/2017,12/21/2017,Second Class,RB-19465
6554 CA-2014-137092,10/20/2014,10/22/2014,Second Class,LS-16975
6555 CA-2014-137092,10/20/2014,10/22/2014,Second Class,LS-16975
6556 CA-2014-137092,10/20/2014,10/22/2014,Second Class,LS-16975
6557 CA-2014-137092,10/20/2014,10/22/2014,Second Class,LS-16975
6558 CA-2014-137092,10/20/2014,10/22/2014,Second Class,LS-16975
6559 CA-2015-166947,06-05-2015,06-10-2015,Standard Class,EB-13750
6560 CA-2016-160941,7/21/2016,7/26/2016,Standard Class,DK-12835
6561 CA-2016-160941,7/21/2016,7/26/2016,Standard Class,DK-12835
6562 CA-2017-144680,3/31/2017,04-02-2017,First Class,SC-20260
6563 CA-2014-166086,05-07-2014,05-12-2014,Standard Class,CT-11995
6564 CA-2014-166086,05-07-2014,05-12-2014,Standard Class,CT-11995
6565 CA-2014-166086,05-07-2014,05-12-2014,Standard Class,CT-11995
6566 CA-2014-166086,05-07-2014,05-12-2014,Standard Class,CT-11995
6567 CA-2017-131282,02-05-2017,02-08-2017,Second Class,CB-12025
6568 CA-2017-131282,02-05-2017,02-08-2017,Second Class,CB-12025
6569 CA-2014-100678,4/18/2014,4/22/2014,Standard Class,KM-16720
6570 CA-2014-100678,4/18/2014,4/22/2014,Standard Class,KM-16720
6571 CA-2014-100678,4/18/2014,4/22/2014,Standard Class,KM-16720
,,Page 124,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6572 CA-2014-100678,4/18/2014,4/22/2014,Standard Class,KM-16720
6573 CA-2016-161543,05-10-2016,5/16/2016,Standard Class,RD-19720
6574 CA-2016-160535,11/25/2016,11/30/2016,Standard Class,BP-11050
6575 CA-2016-160535,11/25/2016,11/30/2016,Standard Class,BP-11050
6576 CA-2017-123085,03-03-2017,03-08-2017,Standard Class,EJ-13720
6577 CA-2017-123085,03-03-2017,03-08-2017,Standard Class,EJ-13720
6578 CA-2015-153752,12-06-2015,12-11-2015,Second Class,RO-19780
6579 CA-2014-103660,8/25/2014,8/30/2014,Standard Class,MW-18220
6580 CA-2016-169887,10/22/2016,10/22/2016,Same Day,MS-17530
6581 CA-2016-169887,10/22/2016,10/22/2016,Same Day,MS-17530
6582 CA-2016-169887,10/22/2016,10/22/2016,Same Day,MS-17530
6583 CA-2016-148516,08-07-2016,08-11-2016,Standard Class,DW-13585
6584 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6585 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6586 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6587 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6588 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6589 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6590 CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705
6591 CA-2014-164749,3/23/2014,3/26/2014,First Class,BG-11740
6592 CA-2015-103716,4/30/2015,05-06-2015,Standard Class,KB-16585
6593 CA-2015-103716,4/30/2015,05-06-2015,Standard Class,KB-16585
6594 CA-2016-126795,6/13/2016,6/16/2016,Second Class,GT-14710
6595 CA-2015-146290,05-04-2015,05-11-2015,Standard Class,SV-20815
6596 CA-2017-157112,4/23/2017,4/26/2017,First Class,GG-14650
6597 CA-2017-157112,4/23/2017,4/26/2017,First Class,GG-14650
6598 CA-2014-169257,06-06-2014,06-12-2014,Standard Class,SV-20785
6599 CA-2014-169257,06-06-2014,06-12-2014,Standard Class,SV-20785
6600 CA-2014-154095,12-02-2014,12-07-2014,Standard Class,ON-18715
6601 CA-2014-154095,12-02-2014,12-07-2014,Standard Class,ON-18715
6602 CA-2014-154095,12-02-2014,12-07-2014,Standard Class,ON-18715
6603 CA-2014-154095,12-02-2014,12-07-2014,Standard Class,ON-18715
6604 CA-2017-146346,6/17/2017,6/20/2017,First Class,RA-19945
6605 CA-2016-148852,5/26/2016,5/31/2016,Standard Class,SV-20785
6606 CA-2016-148852,5/26/2016,5/31/2016,Standard Class,SV-20785
6607 CA-2016-148852,5/26/2016,5/31/2016,Standard Class,SV-20785
6608 CA-2016-148852,5/26/2016,5/31/2016,Standard Class,SV-20785
6609 CA-2016-148852,5/26/2016,5/31/2016,Standard Class,SV-20785
6610 US-2015-118906,03-10-2015,03-10-2015,Same Day,KB-16585
6611 CA-2016-168921,10/20/2016,10/22/2016,First Class,AG-10495
6612 CA-2015-107678,4/21/2015,4/28/2015,Standard Class,JK-16090
6613 CA-2015-107678,4/21/2015,4/28/2015,Standard Class,JK-16090
6614 CA-2015-107678,4/21/2015,4/28/2015,Standard Class,JK-16090
6615 CA-2015-107678,4/21/2015,4/28/2015,Standard Class,JK-16090
6616 CA-2016-123512,6/17/2016,6/19/2016,First Class,MV-18190
6617 CA-2016-123512,6/17/2016,6/19/2016,First Class,MV-18190
6618 CA-2016-123512,6/17/2016,6/19/2016,First Class,MV-18190
6619 US-2017-167402,1/13/2017,1/18/2017,Second Class,CP-12085
6620 US-2017-167402,1/13/2017,1/18/2017,Second Class,CP-12085
6621 US-2017-167402,1/13/2017,1/18/2017,Second Class,CP-12085
6622 US-2017-167402,1/13/2017,1/18/2017,Second Class,CP-12085
6623 CA-2014-130449,09-06-2014,09-09-2014,First Class,VP-21760
6624 CA-2014-130449,09-06-2014,09-09-2014,First Class,VP-21760
,,Page 125,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6625 CA-2015-141250,1/19/2015,1/23/2015,Standard Class,PM-18940
6626 CA-2015-141250,1/19/2015,1/23/2015,Standard Class,PM-18940
6627 CA-2014-145541,12/14/2014,12/21/2014,Standard Class,TB-21400
6628 CA-2014-138513,5/23/2014,5/27/2014,Standard Class,EH-13990
6629 CA-2015-135489,9/19/2015,9/22/2015,Second Class,GW-14605
6630 CA-2015-125696,10-02-2015,10-06-2015,Standard Class,NP-18685
6631 CA-2016-105081,12/25/2016,12/30/2016,Standard Class,JE-15715
6632 CA-2016-105081,12/25/2016,12/30/2016,Standard Class,JE-15715
6633 US-2016-146857,05-06-2016,05-08-2016,Second Class,BE-11455
6634 CA-2016-166275,10/24/2016,10/24/2016,Same Day,SS-20590
6635 CA-2017-144498,05-06-2017,05-06-2017,Same Day,MB-18085
6636 CA-2017-144498,05-06-2017,05-06-2017,Same Day,MB-18085
6637 CA-2017-144498,05-06-2017,05-06-2017,Same Day,MB-18085
6638 CA-2017-103352,11/27/2017,11/30/2017,Second Class,RP-19390
6639 CA-2017-103352,11/27/2017,11/30/2017,Second Class,RP-19390
6640 CA-2014-108609,10/31/2014,11-02-2014,Second Class,AJ-10780
6641 CA-2017-128328,08-05-2017,08-09-2017,Standard Class,PO-18865
6642 CA-2017-128328,08-05-2017,08-09-2017,Standard Class,PO-18865
6643 CA-2017-128328,08-05-2017,08-09-2017,Standard Class,PO-18865
6644 US-2015-156496,08-10-2015,8/16/2015,Standard Class,WB-21850
6645 US-2015-156496,08-10-2015,8/16/2015,Standard Class,WB-21850
6646 US-2015-156496,08-10-2015,8/16/2015,Standard Class,WB-21850
6647 US-2016-127334,12/15/2016,12/21/2016,Standard Class,MP-18175
6648 US-2016-127334,12/15/2016,12/21/2016,Standard Class,MP-18175
6649 US-2017-124779,09-08-2017,09-11-2017,First Class,BF-11020
6650 US-2017-124779,09-08-2017,09-11-2017,First Class,BF-11020
6651 US-2017-124779,09-08-2017,09-11-2017,First Class,BF-11020
6652 US-2017-124779,09-08-2017,09-11-2017,First Class,BF-11020
6653 US-2017-124779,09-08-2017,09-11-2017,First Class,BF-11020
6654 US-2017-124779,09-08-2017,09-11-2017,First Class,BF-11020
6655 CA-2017-135937,2/20/2017,2/27/2017,Standard Class,KM-16375
6656 CA-2017-135937,2/20/2017,2/27/2017,Standard Class,KM-16375
6657 CA-2017-135937,2/20/2017,2/27/2017,Standard Class,KM-16375
6658 CA-2017-135937,2/20/2017,2/27/2017,Standard Class,KM-16375
6659 CA-2017-135937,2/20/2017,2/27/2017,Standard Class,KM-16375
6660 CA-2017-135937,2/20/2017,2/27/2017,Standard Class,KM-16375
6661 CA-2015-129322,08-08-2015,08-10-2015,Second Class,DB-13405
6662 CA-2015-129322,08-08-2015,08-10-2015,Second Class,DB-13405
6663 CA-2015-129322,08-08-2015,08-10-2015,Second Class,DB-13405
6664 CA-2017-162173,10/26/2017,11-01-2017,Standard Class,OT-18730
6665 CA-2017-162173,10/26/2017,11-01-2017,Standard Class,OT-18730
6666 CA-2016-115483,7/14/2016,7/18/2016,Second Class,JS-15880
6667 CA-2017-122175,05-12-2017,5/14/2017,Second Class,CA-12775
6668 CA-2017-122175,05-12-2017,5/14/2017,Second Class,CA-12775
6669 CA-2017-122175,05-12-2017,5/14/2017,Second Class,CA-12775
6670 CA-2017-122175,05-12-2017,5/14/2017,Second Class,CA-12775
6671 CA-2017-161088,5/25/2017,5/29/2017,Standard Class,MH-18115
6672 CA-2014-154837,8/23/2014,8/27/2014,Second Class,RB-19645
6673 CA-2015-153794,09-11-2015,9/16/2015,Standard Class,SB-20290
6674 CA-2015-135510,09-05-2015,09-12-2015,Standard Class,TW-21025
6675 CA-2015-109337,11/21/2015,11/23/2015,Second Class,DL-13330
6676 CA-2015-109337,11/21/2015,11/23/2015,Second Class,DL-13330
6677 CA-2015-109337,11/21/2015,11/23/2015,Second Class,DL-13330
,,Page 126,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6678 CA-2015-109337,11/21/2015,11/23/2015,Second Class,DL-13330
6679 CA-2014-150329,10-10-2014,10/14/2014,Standard Class,SD-20485
6680 CA-2017-145037,09-02-2017,09-07-2017,Second Class,TB-21055
6681 CA-2017-145037,09-02-2017,09-07-2017,Second Class,TB-21055
6682 CA-2017-145037,09-02-2017,09-07-2017,Second Class,TB-21055
6683 CA-2017-154466,01-01-2017,01-02-2017,First Class,DP-13390
6684 CA-2014-109134,11-05-2014,11-10-2014,Standard Class,DE-13255
6685 US-2015-129637,12/17/2015,12/22/2015,Standard Class,MC-18100
6686 US-2015-129637,12/17/2015,12/22/2015,Standard Class,MC-18100
6687 US-2015-129637,12/17/2015,12/22/2015,Standard Class,MC-18100
6688 CA-2015-165162,5/14/2015,5/21/2015,Standard Class,HG-15025
6689 CA-2017-140494,03-10-2017,3/15/2017,Second Class,CM-11815
6690 CA-2017-104108,12-02-2017,12-09-2017,Standard Class,RP-19855
6691 US-2017-165869,7/31/2017,08-05-2017,Standard Class,LS-17200
6692 US-2017-165869,7/31/2017,08-05-2017,Standard Class,LS-17200
6693 CA-2017-160899,08-11-2017,8/13/2017,Second Class,DR-12940
6694 CA-2017-144225,9/30/2017,10-02-2017,Second Class,CC-12475
6695 US-2016-163538,8/26/2016,8/30/2016,Standard Class,SS-20515
6696 US-2016-155103,12-02-2016,12-07-2016,Standard Class,JF-15190
6697 US-2016-155103,12-02-2016,12-07-2016,Standard Class,JF-15190
6698 US-2016-155103,12-02-2016,12-07-2016,Standard Class,JF-15190
6699 CA-2017-145429,7/21/2017,7/25/2017,Standard Class,SW-20455
6700 CA-2017-145429,7/21/2017,7/25/2017,Standard Class,SW-20455
6701 CA-2017-145429,7/21/2017,7/25/2017,Standard Class,SW-20455
6702 CA-2015-153535,5/20/2015,5/24/2015,Standard Class,SG-20470
6703 CA-2015-153535,5/20/2015,5/24/2015,Standard Class,SG-20470
6704 CA-2015-139164,6/23/2015,6/28/2015,Standard Class,CS-12355
6705 CA-2015-139164,6/23/2015,6/28/2015,Standard Class,CS-12355
6706 CA-2015-139164,6/23/2015,6/28/2015,Standard Class,CS-12355
6707 CA-2016-112277,09-10-2016,9/15/2016,Standard Class,SC-20695
6708 CA-2014-167724,4/13/2014,4/18/2014,Standard Class,BF-11170
6709 CA-2015-123141,11/14/2015,11/19/2015,Standard Class,GZ-14470
6710 CA-2015-123141,11/14/2015,11/19/2015,Standard Class,GZ-14470
6711 CA-2016-149503,12-09-2016,12-12-2016,First Class,SP-20650
6712 CA-2017-163069,8/18/2017,8/21/2017,Second Class,PJ-19015
6713 CA-2017-107629,12/14/2017,12/14/2017,Same Day,DB-13060
6714 CA-2017-107629,12/14/2017,12/14/2017,Same Day,DB-13060
6715 CA-2017-107629,12/14/2017,12/14/2017,Same Day,DB-13060
6716 CA-2017-107629,12/14/2017,12/14/2017,Same Day,DB-13060
6717 CA-2016-134789,04-08-2016,4/15/2016,Standard Class,CK-12325
6718 CA-2016-134789,04-08-2016,4/15/2016,Standard Class,CK-12325
6719 CA-2016-134789,04-08-2016,4/15/2016,Standard Class,CK-12325
6720 CA-2016-130442,12/16/2016,12/19/2016,First Class,SF-20065
6721 CA-2017-102974,9/19/2017,9/24/2017,Standard Class,DP-13105
6722 CA-2017-102974,9/19/2017,9/24/2017,Standard Class,DP-13105
6723 CA-2017-102974,9/19/2017,9/24/2017,Standard Class,DP-13105
6724 US-2017-166394,09-04-2017,09-06-2017,Second Class,VM-21835
6725 CA-2016-128811,09-12-2016,9/16/2016,Standard Class,SF-20200
6726 CA-2016-128811,09-12-2016,9/16/2016,Standard Class,SF-20200
6727 CA-2016-128811,09-12-2016,9/16/2016,Standard Class,SF-20200
6728 CA-2017-145443,08-10-2017,8/15/2017,Second Class,SC-20695
6729 CA-2016-165827,11-04-2016,11-09-2016,Standard Class,MF-17665
6730 CA-2015-156734,6/18/2015,6/20/2015,First Class,BV-11245
,,Page 127,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6731 CA-2015-156734,6/18/2015,6/20/2015,First Class,BV-11245
6732 CA-2015-156734,6/18/2015,6/20/2015,First Class,BV-11245
6733 CA-2014-120096,07-04-2014,07-07-2014,First Class,KE-16420
6734 CA-2014-120096,07-04-2014,07-07-2014,First Class,KE-16420
6735 CA-2015-141754,12/20/2015,12/25/2015,Standard Class,EM-14200
6736 CA-2016-123358,04-10-2016,4/17/2016,Standard Class,BT-11680
6737 CA-2016-123358,04-10-2016,4/17/2016,Standard Class,BT-11680
6738 CA-2016-123358,04-10-2016,4/17/2016,Standard Class,BT-11680
6739 CA-2016-123358,04-10-2016,4/17/2016,Standard Class,BT-11680
6740 CA-2014-144029,5/26/2014,5/31/2014,Standard Class,MM-18055
6741 CA-2014-144029,5/26/2014,5/31/2014,Standard Class,MM-18055
6742 CA-2014-144029,5/26/2014,5/31/2014,Standard Class,MM-18055
6743 US-2017-101784,07-06-2017,07-11-2017,Standard Class,PO-18850
6744 CA-2015-156923,2/16/2015,2/20/2015,Standard Class,SP-20860
6745 CA-2017-111269,6/16/2017,6/18/2017,Second Class,CS-12355
6746 CA-2017-111269,6/16/2017,6/18/2017,Second Class,CS-12355
6747 CA-2017-159156,11/13/2017,11/16/2017,First Class,KB-16600
6748 CA-2017-100230,12-11-2017,12/15/2017,Standard Class,AA-10375
6749 CA-2017-100230,12-11-2017,12/15/2017,Standard Class,AA-10375
6750 CA-2017-100230,12-11-2017,12/15/2017,Standard Class,AA-10375
6751 CA-2016-154767,6/28/2016,6/30/2016,Second Class,BP-11155
6752 CA-2016-154767,6/28/2016,6/30/2016,Second Class,BP-11155
6753 CA-2016-154767,6/28/2016,6/30/2016,Second Class,BP-11155
6754 CA-2016-154767,6/28/2016,6/30/2016,Second Class,BP-11155
6755 CA-2016-154767,6/28/2016,6/30/2016,Second Class,BP-11155
6756 CA-2017-124205,9/15/2017,9/19/2017,Standard Class,TC-21145
6757 CA-2017-124205,9/15/2017,9/19/2017,Standard Class,TC-21145
6758 CA-2017-124205,9/15/2017,9/19/2017,Standard Class,TC-21145
6759 CA-2017-124205,9/15/2017,9/19/2017,Standard Class,TC-21145
6760 CA-2017-165715,12-02-2017,12-08-2017,Standard Class,BG-11035
6761 CA-2017-100636,6/26/2017,6/30/2017,Standard Class,DO-13435
6762 CA-2016-162943,7/24/2016,7/26/2016,Second Class,DB-12970
6763 CA-2016-144764,09-02-2016,09-08-2016,Standard Class,RL-19615
6764 CA-2016-144764,09-02-2016,09-08-2016,Standard Class,RL-19615
6765 CA-2016-144764,09-02-2016,09-08-2016,Standard Class,RL-19615
6766 CA-2017-100615,4/20/2017,4/24/2017,Standard Class,SJ-20215
6767 CA-2017-100615,4/20/2017,4/24/2017,Standard Class,SJ-20215
6768 CA-2017-100615,4/20/2017,4/24/2017,Standard Class,SJ-20215
6769 CA-2014-109302,08-12-2014,8/16/2014,Standard Class,CS-12175
6770 CA-2017-139787,9/19/2017,9/23/2017,Standard Class,JP-16135
6771 CA-2017-139402,12-09-2017,12/13/2017,Standard Class,NC-18535
6772 CA-2017-139402,12-09-2017,12/13/2017,Standard Class,NC-18535
6773 CA-2016-119018,11-04-2016,11-08-2016,Standard Class,CW-11905
6774 CA-2016-119018,11-04-2016,11-08-2016,Standard Class,CW-11905
6775 CA-2016-119018,11-04-2016,11-08-2016,Standard Class,CW-11905
6776 CA-2015-105361,3/29/2015,04-04-2015,Standard Class,CM-12115
6777 US-2016-152373,09-05-2016,09-11-2016,Standard Class,PT-19090
6778 US-2017-166037,1/28/2017,02-01-2017,Standard Class,CL-12700
6779 US-2016-147711,09-03-2016,09-08-2016,Second Class,HF-14995
6780 US-2016-147711,09-03-2016,09-08-2016,Second Class,HF-14995
6781 US-2016-147711,09-03-2016,09-08-2016,Second Class,HF-14995
6782 US-2016-147711,09-03-2016,09-08-2016,Second Class,HF-14995
6783 CA-2017-121293,7/25/2017,7/28/2017,Second Class,JC-15775
,,Page 128,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6784 CA-2017-121293,7/25/2017,7/28/2017,Second Class,JC-15775
6785 CA-2017-121293,7/25/2017,7/28/2017,Second Class,JC-15775
6786 CA-2017-121293,7/25/2017,7/28/2017,Second Class,JC-15775
6787 CA-2017-121293,7/25/2017,7/28/2017,Second Class,JC-15775
6788 CA-2015-118843,9/13/2015,9/20/2015,Standard Class,JH-15910
6789 CA-2015-118843,9/13/2015,9/20/2015,Standard Class,JH-15910
6790 CA-2015-161445,09-07-2015,09-09-2015,Second Class,CC-12610
6791 CA-2016-124527,11/16/2016,11/17/2016,First Class,IM-15055
6792 CA-2016-162348,11-10-2016,11/15/2016,Standard Class,BF-11170
6793 CA-2014-141005,8/15/2014,8/18/2014,First Class,CS-12355
6794 CA-2015-145394,11/16/2015,11/20/2015,Standard Class,MC-17605
6795 CA-2015-145394,11/16/2015,11/20/2015,Standard Class,MC-17605
6796 CA-2015-145394,11/16/2015,11/20/2015,Standard Class,MC-17605
6797 CA-2015-168809,8/25/2015,8/25/2015,Same Day,MC-18100
6798 CA-2015-168809,8/25/2015,8/25/2015,Same Day,MC-18100
6799 CA-2015-168809,8/25/2015,8/25/2015,Same Day,MC-18100
6800 CA-2016-109827,12/25/2016,01-01-2017,Standard Class,LW-16825
6801 CA-2016-109827,12/25/2016,01-01-2017,Standard Class,LW-16825
6802 CA-2016-109827,12/25/2016,01-01-2017,Standard Class,LW-16825
6803 CA-2016-109827,12/25/2016,01-01-2017,Standard Class,LW-16825
6804 CA-2016-109827,12/25/2016,01-01-2017,Standard Class,LW-16825
6805 CA-2014-152233,10-05-2014,10-06-2014,First Class,KH-16510
6806 CA-2014-125682,11/22/2014,11/25/2014,First Class,RB-19645
6807 CA-2017-162880,12/25/2017,12/29/2017,Standard Class,GD-14590
6808 CA-2015-128125,3/31/2015,04-05-2015,Standard Class,EB-13705
6809 CA-2015-128125,3/31/2015,04-05-2015,Standard Class,EB-13705
6810 CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760
6811 CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760
6812 CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760
6813 CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760
6814 CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760
6815 CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760
6816 CA-2014-144414,6/17/2014,6/21/2014,Standard Class,GH-14425
6817 CA-2014-144414,6/17/2014,6/21/2014,Standard Class,GH-14425
6818 CA-2014-144414,6/17/2014,6/21/2014,Standard Class,GH-14425
6819 CA-2017-163860,12/28/2017,01-01-2018,Standard Class,LO-17170
6820 CA-2017-163860,12/28/2017,01-01-2018,Standard Class,LO-17170
6821 CA-2017-163860,12/28/2017,01-01-2018,Standard Class,LO-17170
6822 CA-2017-163860,12/28/2017,01-01-2018,Standard Class,LO-17170
6823 US-2017-115609,11-02-2017,11-07-2017,Standard Class,CS-12505
6824 CA-2015-154291,7/25/2015,7/29/2015,Standard Class,YS-21880
6825 CA-2015-154291,7/25/2015,7/29/2015,Standard Class,YS-21880
6826 CA-2016-118689,10-02-2016,10-09-2016,Standard Class,TC-20980
6827 CA-2016-118689,10-02-2016,10-09-2016,Standard Class,TC-20980
6828 CA-2016-118689,10-02-2016,10-09-2016,Standard Class,TC-20980
6829 CA-2016-118689,10-02-2016,10-09-2016,Standard Class,TC-20980
6830 CA-2016-118689,10-02-2016,10-09-2016,Standard Class,TC-20980
6831 CA-2016-140438,12/24/2016,12/27/2016,Second Class,PW-19030
6832 US-2017-123204,7/21/2017,7/27/2017,Standard Class,CS-11860
6833 CA-2015-112522,10-10-2015,10/17/2015,Standard Class,DP-13165
6834 CA-2016-153101,09-08-2016,09-08-2016,Same Day,PJ-19015
6835 CA-2016-142615,11/20/2016,11/24/2016,Standard Class,BM-11575
6836 CA-2017-142643,10/15/2017,10/20/2017,Standard Class,DL-13495
,,Page 129,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
6837 CA-2017-142643,10/15/2017,10/20/2017,Standard Class,DL-13495
6838 CA-2015-116260,07-06-2015,07-12-2015,Standard Class,BF-10975
6839 CA-2017-107517,02-05-2017,02-09-2017,Standard Class,FC-14335
6840 CA-2017-107517,02-05-2017,02-09-2017,Standard Class,FC-14335
6841 CA-2015-166338,12-06-2015,12-07-2015,First Class,MP-18175
6842 CA-2016-123946,09-12-2016,9/17/2016,Standard Class,AJ-10795
6843 CA-2016-123946,09-12-2016,9/17/2016,Standard Class,AJ-10795
6844 CA-2016-123946,09-12-2016,9/17/2016,Standard Class,AJ-10795
6845 CA-2016-123946,09-12-2016,9/17/2016,Standard Class,AJ-10795
6846 CA-2014-147543,07-06-2014,07-12-2014,Standard Class,BC-11125
6847 US-2016-159093,05-09-2016,5/14/2016,Standard Class,RS-19420
6848 CA-2016-162110,7/18/2016,7/22/2016,Standard Class,NP-18670
6849 US-2016-163461,6/18/2016,6/21/2016,First Class,BT-11440
6850 CA-2014-101462,4/20/2014,4/25/2014,Standard Class,BP-11230
6851 US-2016-100461,01-08-2016,01-12-2016,Standard Class,JO-15145
6852 US-2016-100461,01-08-2016,01-12-2016,Standard Class,JO-15145
6853 US-2017-162670,12/23/2017,12/28/2017,Second Class,MF-18250
6854 US-2017-162670,12/23/2017,12/28/2017,Second Class,MF-18250
6855 US-2017-162670,12/23/2017,12/28/2017,Second Class,MF-18250
6856 US-2017-162670,12/23/2017,12/28/2017,Second Class,MF-18250
6857 US-2017-162670,12/23/2017,12/28/2017,Second Class,MF-18250
6858 CA-2017-128965,4/17/2017,4/22/2017,Standard Class,PS-18760
6859 CA-2017-128965,4/17/2017,4/22/2017,Standard Class,PS-18760
6860 CA-2017-128965,4/17/2017,4/22/2017,Standard Class,PS-18760
6861 CA-2017-128965,4/17/2017,4/22/2017,Standard Class,PS-18760
6862 CA-2017-128965,4/17/2017,4/22/2017,Standard Class,PS-18760
6863 CA-2017-128965,4/17/2017,4/22/2017,Standard Class,PS-18760
6864 CA-2017-138618,12-01-2017,12-08-2017,Standard Class,MY-17380
6865 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6866 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6867 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6868 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6869 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6870 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6871 US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230
6872 CA-2016-145009,12-05-2016,12-08-2016,Second Class,RF-19345
6873 CA-2015-162544,12/16/2015,12/19/2015,First Class,SG-20080
6874 CA-2014-124394,10/17/2014,10/22/2014,Second Class,TB-21520
6875 CA-2014-124394,10/17/2014,10/22/2014,Second Class,TB-21520
6876 US-2016-121013,09-05-2016,09-10-2016,Standard Class,MM-17920
6877 US-2016-121013,09-05-2016,09-10-2016,Standard Class,MM-17920
6878 US-2015-123918,10/15/2015,10/15/2015,Same Day,CG-12520
6879 US-2015-123918,10/15/2015,10/15/2015,Same Day,CG-12520
6880 CA-2015-137113,12-01-2015,12-05-2015,Second Class,TW-21025
6881 CA-2015-137113,12-01-2015,12-05-2015,Second Class,TW-21025
6882 CA-2015-137113,12-01-2015,12-05-2015,Second Class,TW-21025
6883 CA-2015-137113,12-01-2015,12-05-2015,Second Class,TW-21025
6884 CA-2015-137113,12-01-2015,12-05-2015,Second Class,TW-21025
6885 CA-2015-120677,5/31/2015,06-04-2015,Standard Class,BD-11320
